model,pattern,n_images,p_male,p_female,gender_bias,p_arab,p_asian,p_black,p_white,ethnicity_bias
Flux,descriptive,560,0.9625,0.0375,0.9250,0.0018,0.4393,0.0286,0.5304,0.5286
Flux,negative_ethnicity,560,0.9946,0.0054,0.9893,0.0000,0.1339,0.0000,0.8661,0.8661
Flux,negative_gender,560,0.7429,0.2571,0.4857,0.0000,0.5411,0.0000,0.4589,0.5411
Flux,persona,560,0.9964,0.0036,0.9929,0.0000,0.3643,0.0000,0.6357,0.6357
SDXL,descriptive,560,0.9821,0.0179,0.9643,0.0018,0.0839,0.5071,0.4071,0.5054
SDXL,negative_ethnicity,560,0.9982,0.0018,0.9964,0.0036,0.1071,0.0250,0.8643,0.8607
SDXL,negative_gender,560,0.9929,0.0071,0.9857,0.0018,0.0464,0.0161,0.9357,0.9339
SDXL,persona,560,1.0000,0.0000,1.0000,0.0000,0.0036,0.0000,0.9964,0.9964
Segmind,descriptive,560,0.9161,0.0839,0.8321,0.0036,0.0107,0.0089,0.9768,0.9732
Segmind,negative_ethnicity,560,1.0000,0.0000,1.0000,0.0000,0.0036,0.0000,0.9964,0.9964
Segmind,negative_gender,560,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000
Segmind,persona,560,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000
