analysis,model,metric,kw_stat,kw_p,kw_significant,comparison,dunn_p,dunn_significant,a12,a12_magnitude
A,Segmind,gender_bias,127.3609,0.000000,YES,persona vs descriptive,0.000000,YES,0.8214,large
A,Segmind,gender_bias,127.3609,0.000000,YES,persona vs negative_gender,1.000000,NO,0.5000,negligible
A,Segmind,gender_bias,127.3609,0.000000,YES,persona vs negative_ethnicity,1.000000,NO,0.5000,negligible
A,Segmind,gender_bias,127.3609,0.000000,YES,descriptive vs negative_gender,0.000000,YES,0.1786,large
A,Segmind,gender_bias,127.3609,0.000000,YES,descriptive vs negative_ethnicity,0.000000,YES,0.1786,large
A,Segmind,gender_bias,127.3609,0.000000,YES,negative_gender vs negative_ethnicity,1.000000,NO,0.5000,negligible
A,Segmind,ethnicity_bias,23.9330,0.000026,YES,persona vs descriptive,0.000165,YES,0.5893,small
A,Segmind,ethnicity_bias,23.9330,0.000026,YES,persona vs negative_gender,1.000000,NO,0.5000,negligible
A,Segmind,ethnicity_bias,23.9330,0.000026,YES,persona vs negative_ethnicity,1.000000,NO,0.5179,negligible
A,Segmind,ethnicity_bias,23.9330,0.000026,YES,descriptive vs negative_gender,0.000165,YES,0.4107,small
A,Segmind,ethnicity_bias,23.9330,0.000026,YES,descriptive vs negative_ethnicity,0.004611,YES,0.4279,small
A,Segmind,ethnicity_bias,23.9330,0.000026,YES,negative_gender vs negative_ethnicity,1.000000,NO,0.5179,negligible
A,SDXL,gender_bias,14.9386,0.001870,YES,persona vs descriptive,0.002652,YES,0.5804,small
A,SDXL,gender_bias,14.9386,0.001870,YES,persona vs negative_gender,0.725724,NO,0.5357,negligible
A,SDXL,gender_bias,14.9386,0.001870,YES,persona vs negative_ethnicity,1.000000,NO,0.5089,negligible
A,SDXL,gender_bias,14.9386,0.001870,YES,descriptive vs negative_gender,0.298005,NO,0.4547,negligible
A,SDXL,gender_bias,14.9386,0.001870,YES,descriptive vs negative_ethnicity,0.010636,YES,0.4284,small
A,SDXL,gender_bias,14.9386,0.001870,YES,negative_gender vs negative_ethnicity,1.000000,NO,0.4732,negligible
A,SDXL,ethnicity_bias,153.4582,0.000000,YES,persona vs descriptive,0.000000,YES,1.0000,large
A,SDXL,ethnicity_bias,153.4582,0.000000,YES,persona vs negative_gender,0.006805,YES,0.7427,large
A,SDXL,ethnicity_bias,153.4582,0.000000,YES,persona vs negative_ethnicity,0.000005,YES,0.8004,large
A,SDXL,ethnicity_bias,153.4582,0.000000,YES,descriptive vs negative_gender,0.000000,YES,0.0033,large
A,SDXL,ethnicity_bias,153.4582,0.000000,YES,descriptive vs negative_ethnicity,0.000000,YES,0.0609,large
A,SDXL,ethnicity_bias,153.4582,0.000000,YES,negative_gender vs negative_ethnicity,0.566500,NO,0.6154,small
A,Flux,gender_bias,122.3760,0.000000,YES,persona vs descriptive,0.483833,NO,0.5820,small
A,Flux,gender_bias,122.3760,0.000000,YES,persona vs negative_gender,0.000000,YES,0.8964,large
A,Flux,gender_bias,122.3760,0.000000,YES,persona vs negative_ethnicity,1.000000,NO,0.5003,negligible
A,Flux,gender_bias,122.3760,0.000000,YES,descriptive vs negative_gender,0.000000,YES,0.8438,large
A,Flux,gender_bias,122.3760,0.000000,YES,descriptive vs negative_ethnicity,0.507681,NO,0.4193,small
A,Flux,gender_bias,122.3760,0.000000,YES,negative_gender vs negative_ethnicity,0.000000,YES,0.1055,large
A,Flux,ethnicity_bias,85.4361,0.000000,YES,persona vs descriptive,0.487259,NO,0.6134,small
A,Flux,ethnicity_bias,85.4361,0.000000,YES,persona vs negative_gender,0.482597,NO,0.6143,small
A,Flux,ethnicity_bias,85.4361,0.000000,YES,persona vs negative_ethnicity,0.000000,YES,0.1274,large
A,Flux,ethnicity_bias,85.4361,0.000000,YES,descriptive vs negative_gender,1.000000,NO,0.4927,negligible
A,Flux,ethnicity_bias,85.4361,0.000000,YES,descriptive vs negative_ethnicity,0.000000,YES,0.1027,large
A,Flux,ethnicity_bias,85.4361,0.000000,YES,negative_gender vs negative_ethnicity,0.000000,YES,0.0880,large
